site;secteur;date; passage;nombre_observateurs;observateur_1;observateur_2;observateur_3;observateur_4; placette;habitat_predominant;pourcentage_habitat_predominant;surface_eau_libre;temps_total_prospection_min;temps_recolte_par_personne_min;helophytes;helophytes_1;helophytes_2;helophytes_3;helophytes_4;profondeur_eau_cm;exuvies;remarque;nombre_exuvies_anisopteres;nombre_exuvies_zygopteres;espece;genre_famille;sexe;determinateur;verification_hors_PNR;nenuphar;exuvies_sur_nenuphar;temperature_generale;heure_arrivee;heure_depart;temps_passe
TDC;NA;21/07/2021;1;2;MC;CJ;NA;NA;101;mare_a_scheuchzerie;NA;0;5;NA;1;NA;NA;scheuchzerie;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,5;11:03:00;11:08:00;00:05
TDC;NA;21/07/2021;1;2;MC;CJ;NA;NA;74;mare_a_sphaigne_verte;NA;1_10;5;NA;1;carex;NA;NA;molinie;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,5;11:24:00;11:29:00;00:05
TDC;NA;21/07/2021;1;2;MC;CJ;NA;NA;73;mare_a_sphaigne_verte;NA;0;5;NA;1;carex;NA;NA;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,5;11:30:00;11:35:00;00:05
TDC;NA;21/07/2021;1;2;MC;CJ;NA;NA;52;groupement_a_sphaignes_rouges;NA;0;6;NA;1;NA;NA;scheuchzerie;NA;0;0;NA;NA;NA;NA;;NA;NA;NA;NA;NA;17,5;11:47:00;11:53:00;00:06
TDC;NA;21/07/2021;1;2;MC;CJ;NA;NA;55;groupement_a_sphaignes_rouges;NA;0;4;NA;0;NA;NA;NA;NA;0;0;calluna_vulgaris;NA;NA;NA;;NA;NA;NA;NA;NA;17,5;11:56:00;12:00:00;00:04
TDC;NA;21/07/2021;1;2;MC;CJ;NA;NA;57;groupement_a_sphaignes_rouges;NA;0;5;NA;1;NA;NA;NA;molinie;0;0;calluna_vulgaris;NA;NA;NA;;NA;NA;NA;NA;NA;17,5;12:00:00;12:05:00;00:05
TDC;NA;21/07/2021;1;2;MC;CJ;NA;NA;54;groupement_a_sphaignes_rouges;NA;0;5;NA;0;NA;NA;NA;NA;0;0;calluna_vulgaris;NA;NA;NA;;NA;NA;NA;NA;NA;17,5;12:05:00;12:10:00;00:05
TDC;NA;21/07/2021;1;2;MC;CJ;NA;NA;95;groupement_a_carex_rostrata;NA;1_10;6;NA;0;NA;NA;NA;NA;50;1;sphaigne_verte;6;NA;leucorrhinia_dubia;;NA;ME_MC;NA;NA;NA;17,5;13:09:00;13:15:00;00:06
TDC;NA;21/07/2021;1;2;MC;CJ;NA;NA;23;eau_libre;NA;0;7;NA;1;carex;NA;NA;NA;0;1;NA;10;NA;leucorrhinia_dubia;;NA;ME_MC;NA;NA;NA;17,5;13:16:00;13:23:00;00:07
TDC;NA;21/07/2021;1;2;MC;CJ;NA;NA;93;groupement_a_carex_rostrata;NA;0;5;NA;0;NA;NA;NA;NA;0;1;eriophorum_vaginatum;4;NA;leucorrhinia_dubia;;NA;ME_MC;NA;NA;NA;17,5;13:27:00;13:32:00;00:05
TDC;NA;21/07/2021;1;2;MC;CJ;NA;NA;89;groupement_a_carex_rostrata;NA;0;5;NA;1;NA;NA;NA;molinie;0;0;eriophorum_vaginatum;NA;NA;NA;;NA;NA;NA;NA;NA;17,5;13:34:00;13:39:00;00:05
TDC;NA;21/07/2021;1;2;MC;CJ;NA;NA;88;groupement_a_carex_rostrata;NA;1_10;5;NA;1;carex;NA;NA;molinie;0;1;eriophorum_vaginatum;1;NA;leucorrhinia_dubia;;NA;ME_MC;NA;NA;NA;17,5;13:41:00;13:46:00;00:05
TDC;NA;21/07/2021;1;2;MC;CJ;NA;NA;88;groupement_a_carex_rostrata;NA;1_10;5;NA;1;carex;NA;NA;molinie;0;1;eriophorum_vaginatum;2;NA;NA;leucorrhinia_dubia ou sympetrum_danae;NA;ME_MC;NA;NA;NA;17,5;13:41:00;13:46:00;00:05
